Input function with masked if condition,Prediction correct (true/false),Expected if condition,Predicted if condition,CodeBLEU prediction score (0-100),BLEU-4 prediction score (0-100)
"def read(self, count=True, timeout=None, ignore_non_errors=True, ignore_timeouts=True): try: return self._read(count, timeout) except usb.USBError as e: if DEBUG_COMM: log.info( ""read: e.errno=%s e.strerror=%s e.message=%s repr=%s"" % (e.errno, e.strerror, e.message, repr(e)) ) if ignore_timeouts and is_timeout(e): return [] if ignore_non_errors and is_noerr(e): return [] raise",false,if ignore_timeouts and is_timeout ( e ) :,return []ifignore_non_errors andis_noerr(e):if:)if DEBUG_,62.5,13.08
"def _cache_mem(curr_out, prev_mem, mem_len, reuse_len=None): """"""cache hidden states into memory."""""" if mem_len is None or mem_len == 0: return None else: if reuse_len is not None and reuse_len > 0: curr_out = curr_out[:reuse_len] if prev_mem is None: new_mem = curr_out[-mem_len:] else: new_mem = tf.concat([prev_mem, curr_out], 0)[-mem_len:] new_mem.stop_gradient = True return new_mem",false,if prev_mem is None :,"= tf.concat([prev_mem,new_mem,= tf.concat([prev_mem,new_mem,",20.0,4.97
def filtered(gen): for example in gen: example_len = length_fn(example) # Checking max length boundary. if max_length is not None: if example_len > max_length: continue # Checking min length boundary. if min_length is not None: if example_len < min_length: continue # Within bounds. yield example,false,if example_len > max_length :,example_len:,40.0,18.31
"def search(self, query): # ""Search.ashx?query="" + query + filterVal if not query: logger.debug(""Empty search query"") return [] logger.debug('Searching TuneIn for ""%s""' % query) args = ""&query="" + query search_results = self._tunein(""Search.ashx"", args) results = [] for item in self._flatten(search_results): if item.get(""type"", """") == ""audio"": # Only return stations self._stations[item[""guide_id""]] = item results.append(item) return results",false,"if item . get ( ""type"" , """" ) == ""audio"" :","self._stations[item[""guide_id""]] =self._stations[item[""guide_id""]]self._stations[",38.89,1.77
"def _check_script(self, script, directive): for var in compile_script(script): if var.must_contain(""/""): # Skip variable checks return False if var.can_contain("".""): # Yay! Our variable can contain any symbols! reason = ( 'At least variable ""${var}"" can contain untrusted user input'.format( var=var.name ) ) self.add_issue(directive=[directive] + var.providers, reason=reason) return True return False",false,"if var . must_contain ( ""/"" ) :",var.providers:var.providers:,30.0,7.41
"def getAllDataLinkIDs(): linkDataIDs = set() dataType = _forestData.dataTypeBySocket for socketID, linkedIDs in _forestData.linkedSockets.items(): for linkedID in linkedIDs: if socketID[1]: # check which one is origin/target linkDataIDs.add( (socketID, linkedID, dataType[socketID], dataType[linkedID]) ) else: linkDataIDs.add( (linkedID, socketID, dataType[linkedID], dataType[socketID]) ) return linkDataIDs",false,if socketID [ 1 ] :,=_forestData.linkedSockets.items():=_forestData.linkedSockets.items():=,16.67,1.82
"def _stderr_supports_color(): try: if hasattr(sys.stderr, ""isatty"") and sys.stderr.isatty(): if curses: curses.setupterm() if curses.tigetnum(""colors"") > 0: return True elif colorama: if sys.stderr is getattr( colorama.initialise, ""wrapped_stderr"", object() ): return True except Exception: # Very broad exception handling because it's always better to # fall back to non-colored logs than to break at startup. pass return False",false,"if curses . tigetnum ( ""colors"" ) > 0 :",exceptexcept Exception:,8.33,0.0
"def offsets(self): offsets = {} offset_so_far = 0 for name, ty in self.fields.items(): if isinstance(ty, SimTypeBottom): l.warning( ""Found a bottom field in struct %s. Ignore and increment the offset using the default "" ""element size."", self.name, ) continue if not self._pack: align = ty.alignment if offset_so_far % align != 0: offset_so_far += align - offset_so_far % align offsets[name] = offset_so_far offset_so_far += ty.size // self._arch.byte_width return offsets",false,if offset_so_far % align != 0 :,offset_so_far=offset_so_far % align= ty.sizeoffset_so_far % align,50.0,25.92
"def Restore(self): picker, obj = self._window, self._pObject value = obj.RestoreValue(PERSIST_FILEDIRPICKER_PATH) if value is not None: if issubclass(picker.__class__, wx.FileDialog): if type(value) == list: value = value[-1] picker.SetPath(value) return True return False",false,if type ( value ) == list :,:,11.11,0.0
"def dt_s_tup_to_string(dt_s_tup): dt_string = dt_s_tup[0] # string for identifying the file to parse. if dt_s_tup[1] > 0: # if there are seasons in the model if ""co"" in dt_string or ""ci"" in dt_string or ""nc"" in dt_string: dt_string = dt_string[:2] + ""s"" + dt_string[2:] else: dt_string = ""s"" + dt_string return dt_string",false,"if ""co"" in dt_string or ""ci"" in dt_string or ""nc"" in dt_string :",=:=::::::::::::,5.26,1.35
"def writer(stream, items): sep = """" for item in items: stream.write(sep) sep = "" "" if not isinstance(item, str): item = str(item) if not PY3K: if not isinstance(item, unicode): item = str(item) stream.write(item) stream.write(""\n"")",false,"if not isinstance ( item , str ) :",=stream.write(sep))stream.write(sep),22.22,3.38
"def _get_result_keys(self, config): result_key = config.get(""result_key"") if result_key is not None: if not isinstance(result_key, list): result_key = [result_key] result_key = [jmespath.compile(rk) for rk in result_key] return result_key",false,"if not isinstance ( result_key , list ) :",config,0.0,0.0
